name,prod_name,prod_desc,category,price,sub_category,prod_img
50,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,4050,18 K Rose Gold,img2
51,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,4050,18 K White Gold,img1
52,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,4050,18 K  Yellow Gold,img3
53,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,4525,platinum,img4
54,Three Row Blue And White Diamond Wedding Band,This three row blue and white diamond wedding band features channel set blue diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,3615,14 K White Gold,img1
55,Three Row Blue And White Diamond Wedding Band,This three row blue and white diamond wedding band features channel set blue diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,4140,18 K White Gold,img1
56,Three Row Blue And White Diamond Wedding Band,This three row blue and white diamond wedding band features channel set blue diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,4610,platinum,img4
57,Three Row Black And White Diamond Wedding Band,This three row black and white diamond wedding band features channel set black diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,3155,14 K White Gold,img1
58,Three Row Black And White Diamond Wedding Band,This three row black and white diamond wedding band features channel set black diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,3675,18 K White Gold,img1
59,Three Row Black And White Diamond Wedding Band,This three row black and white diamond wedding band features channel set black diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,4150,platinum,img4
